,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,（品目分類）第２表　１世帯当たりの品目別支出金額（総世帯）,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,(Commodity Classification) Table 2. Yearly Amount of Expenditures of Commodities per Household (Total Households) ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,単位　円,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,In  Yen,,,,
,,,,,,,項      目,,,,,,,,,,,,,,,,,Item,,,,,,,
,,,,,,,,,,,,,,,,平成21年,22,23,24,25,26,27,28,,,,,,,,
,,,,,,,,,,,,,,,,計,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000P,80*01       ,            ,01,,37,,,,,,,かれい,,,,"1,221","1,142","1,070",993,967,984,928,883,,Flounder,,,,,,
1000P,80*01       ,            ,01,,38,,,,,,,さけ,,,,"3,261","3,109","3,238","3,381","3,385","3,294","3,557","3,643",,Salmon,,,,,,
1000P,80*01       ,            ,01,,39,,,,,,,さば,,,,919,872,831,865,839,853,867,759,,Mackerel,,,,,,
1000P,80*01       ,            ,01,,40,,,,,,,さんま,,,,"1,169",940,979,870,863,"1,003",952,822,,Saury,,,,,,
1000P,80*01       ,            ,01,,41,,,,,,,たい,,,,"1,076",966,899,856,804,896,911,916,,Sea bream,,,,,,
1000P,80*01       ,            ,01,,42,,,,,,,ぶり,,,,"2,565","2,526","2,701","2,618","2,672","2,502","2,589","2,498",,Yellowtail,,,,,,
1000P,80*01       ,            ,01,,43,,,,,,,いか,,,,"2,134","1,986","1,905","1,843","1,884","1,812","1,849","1,648",,Cuttlefish,,,,,,
1000P,80*01       ,            ,01,,44,,,,,,,たこ,,,,"1,112","1,059",968,908,"1,087","1,051","1,101","1,097",,Octopus,,,,,,
1000P,80*01       ,            ,01,,45,,,,,,,えび,,,,"2,784","2,569","2,549","2,491","2,349","2,270","2,402","2,377",,Shrimps & lobsters,,,,,,
1000P,80*01       ,            ,01,,46,,,,,,,かに,,,,"1,807","1,661","1,473","1,620","1,567","1,603","1,538","1,410",,Crabs,,,,,,
1000P,80*01       ,            ,01,,47,,,,,,,他の鮮魚,,,,"6,629","6,329","5,752","5,628","5,809","5,849","5,685","5,688",,Other raw fish,,,,,,
1000P,80*01       ,            ,01,,48,,,,,,,さしみ盛合わせ,,,,"4,621","4,249","4,078","3,935","4,065","4,125","4,132","4,183",,"“Sashimi”, mixed set",,,,,,
1000P,80*01       ,            ,01,,49,,,,,,貝類,,,,,"3,813","3,755","3,168","3,225","3,180","3,072","3,052","2,938",,Shellfish,,,,,,
1000P,80*01       ,            ,01,,50,,,,,,,あさり,,,,837,902,811,799,818,722,728,718,,Short-necked clams,,,,,,
1000P,80*01       ,            ,01,,51,,,,,,,しじみ,,,,369,438,359,351,332,312,346,321,,Fresh water clams,,,,,,
1000P,80*01       ,            ,01,,52,,,,,,,かき(貝),,,,865,814,750,760,703,786,763,763,,Oysters,,,,,,
1000P,80*01       ,            ,01,,53,,,,,,,ほたて貝,,,,"1,315","1,175",879,994,965,882,836,780,,Scallops,,,,,,
1000P,80*01       ,            ,01,,54,,,,,,,他の貝,,,,427,427,369,321,362,369,378,355,,Other shellfish,,,,,,
1000P,80*01       ,            ,01,,55,,,,,塩干魚介,,,,,,"13,093","12,564","12,127","11,844","11,958","11,894","12,083","11,702",,Salted & dried fish,,,,,,
1000P,80*01       ,            ,01,,56,,,,,,塩さけ,,,,,"1,740","1,670","1,567","1,592","1,682","1,688","1,868","1,797",,Salted salmon,,,,,,
1000P,80*01       ,            ,01,,57,,,,,,たらこ,,,,,"2,439","2,429","2,229","2,085","1,972","1,962","2,025","1,860",,Salted pollock roe,,,,,,
1000P,80*01       ,            ,01,,58,,,,,,しらす干し,,,,,"1,207","1,118","1,083","1,136","1,165","1,172","1,245","1,243",,"“Shirasu-boshi”, dried young sardines",,,,,,
1000P,80*01       ,            ,01,,59,,,,,,干しあじ,,,,,879,828,829,760,726,730,691,693,,Dried horse mackerel,,,,,,
1000P,80*01       ,            ,01,,62,,,,,,他の塩干魚介,,,,,"6,828","6,519","6,419","6,272","6,414","6,342","6,254","6,110",,Other salted & dried fish,,,,,,
1000P,80*01       ,            ,01,,63,,,,,魚肉練製品,,,,,,"7,700","7,370","7,213","7,314","7,144","7,298","7,327","7,197",,Fish-paste products,,,,,,
1000P,80*01       ,            ,01,,64,,,,,,揚げかまぼこ,,,,,"2,185","2,124","2,145","2,151","2,073","2,073","2,107","2,001",,"“Agekamaboko”, fried fish-paste patties",,,,,,
1000P,80*01       ,            ,01,,65,,,,,,ちくわ,,,,,"1,518","1,463","1,434","1,386","1,373","1,405","1,424","1,394",,"“Chikuwa”, baked fish-paste bars",,,,,,
1000P,80*01       ,            ,01,,66,,,,,,かまぼこ,,,,,"2,674","2,594","2,444","2,578","2,562","2,658","2,598","2,577",,"“Kamaboko”, steamed fish-paste cakes",,,,,,
1000P,80*01       ,            ,01,,67,,,,,,他の魚肉練製品,,,,,"1,323","1,189","1,189","1,199","1,137","1,162","1,197","1,225",,Other fish-paste products,,,,,,
1000P,80*01       ,            ,01,,68,,,,,他の魚介加工品,,,,,,"8,728","8,476","8,428","8,486","8,749","8,976","9,239","8,986",,Other processed fish,,,,,,
1000P,80*01       ,            ,01,,69,,,,,,かつお節・削り節,,,,,843,781,770,776,750,770,830,715,,"Bonito fillets & fish flakes, dried",,,,,,
1000P,80*01       ,            ,01,,70,,,,,,魚介の漬物,,,,,"2,491","2,486","2,427","2,515","2,639","2,747","2,669","2,597",,Pickled fish,,,,,,
1000P,80*01       ,            ,01,,71,,,,,,魚介のつくだ煮,,,,,959,"1,024","1,093","1,013","1,113","1,063","1,111","1,121",,Fish prepared in soy sauce,,,,,,
1000P,80*01       ,            ,01,,72,,,,,,魚介の缶詰,,,,,"1,997","1,896","1,926","1,870","1,950","2,074","2,155","2,064",,Canned fish,,,,,,
1000P,80*01       ,            ,01,,73,,,,,,他の魚介加工品のその他,,,,,"2,438","2,288","2,212","2,311","2,297","2,322","2,475","2,488",,Others,,,,,,
1000P,80*01       ,            ,01,,74,,,,肉類,,,,,,,"61,828","59,716","60,392","59,192","62,156","66,498","68,708","68,729",,Meat,,,,,,
1000P,80*01       ,            ,01,,75,,,,,生鮮肉,,,,,,"48,153","46,309","46,714","45,630","48,235","51,990","54,300","54,522",,Raw meat,,,,,,
1000P,80*01       ,            ,01,,76,,,,,,牛肉,,,,,"15,862","15,023","14,578","14,338","15,547","16,440","16,458","17,071",,Beef,,,,,,
1000P,80*01       ,            ,01,,77,,,,,,豚肉,,,,,"19,178","18,496","19,113","18,353","19,302","21,028","22,498","22,230",,Pork,,,,,,
1000P,80*01       ,            ,01,,78,,,,,,鶏肉,,,,,"9,719","9,540","9,890","9,870","10,198","11,093","11,657","11,524",,Chicken,,,,,,
1000P,80*01       ,            ,01,,79,,,,,,合いびき肉,,,,,"1,534","1,428","1,469","1,426","1,440","1,659","1,762","1,788",,Mixed ground meat,,,,,,
1000P,80*01       ,            ,01,,80,,,,,,他の生鮮肉,,,,,"1,860","1,822","1,663","1,644","1,748","1,771","1,924","1,909",,Other raw meat,,,,,,
1000P,80*01       ,            ,01,,81,,,,,加工肉,,,,,,"13,675","13,407","13,679","13,562","13,921","14,507","14,409","14,207",,Processed meat,,,,,,
1000P,80*01       ,            ,01,,82,,,,,,ハム,,,,,"4,726","4,646","4,584","4,615","4,555","4,781","4,601","4,526",,Ham,,,,,,
1000P,80*01       ,            ,01,,83,,,,,,ソーセージ,,,,,"5,663","5,504","5,566","5,569","5,703","5,859","5,772","5,738",,Sausages,,,,,,
1000P,80*01       ,            ,01,,84,,,,,,ベーコン,,,,,"1,897","1,790","1,928","1,873","1,923","2,050","2,101","2,019",,Bacon,,,,,,
1000P,80*01       ,            ,01,,85,,,,,,他の加工肉,,,,,"1,388","1,467","1,601","1,505","1,739","1,817","1,935","1,924",,Other processed meat,,,,,,
